% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2014a
% 
%   * Name: best_cvpe_out
%   * Description: Hyperparameter values for each new best model
%   * Date: 07/05/2015 at 11:32
% 
%   * Column1: 	Number of samples: 	Number of samples
%   * Column2: 	cvpe: 	Cross validated prediction error
%
% ----------------------------------------------------------------------------

6.000000000E0	2.082099080888E4	
7.000000000E0	9.65061519528E3	
8.000000000E0	1.435470224083E4	
9.000000000E0	1.611645308362E4	
1.000000000E1	1.48633844809E4	
1.100000000E1	6.830579454211E5	
1.200000000E1	2.151715886611E6	
1.300000000E1	1.984947455684E6	
1.400000000E1	1.550157360848E6	
1.500000000E1	1.756734885769E6	
1.600000000E1	1.527744631064E6	
1.700000000E1	1.415714915949E6	
1.800000000E1	3.360404492612E6	
1.900000000E1	4.901821617226E6	
2.000000000E1	4.578713660681E6	
2.100000000E1	4.388725634396E6	
2.200000000E1	4.190634834472E6	
2.300000000E1	4.00394795473E6	
2.400000000E1	3.826929967699E6	
2.500000000E1	4.568556377513E6	
2.600000000E1	4.274686696087E6	
2.700000000E1	3.938478555356E6	
2.800000000E1	3.956085191105E6	
2.900000000E1	3.791458173204E6	
3.000000000E1	3.658135976653E6	
3.100000000E1	3.540623439549E6	
3.200000000E1	3.265555183886E6	
3.300000000E1	3.041421047708E6	
3.400000000E1	3.145624373498E6	
3.500000000E1	3.169312780615E6	
3.600000000E1	3.050401849872E6	
3.700000000E1	2.96877435745E6	
3.800000000E1	2.83405093034E6	
3.900000000E1	2.743065832459E6	
4.000000000E1	2.65521328238E6	
4.100000000E1	2.60585304035E6	
4.200000000E1	2.547752720657E6	
4.300000000E1	2.487453009776E6	
4.400000000E1	2.427335342206E6	
4.500000000E1	2.37377772188E6	
4.600000000E1	2.303936884593E6	
4.700000000E1	2.358462164696E6	
4.800000000E1	2.018340866011E6	
4.900000000E1	1.765869177541E6	
5.000000000E1	1.595738421056E6	
5.100000000E1	1.332206683651E6	
5.200000000E1	1.321130839719E6	
5.300000000E1	1.291854667608E6	
5.400000000E1	1.258950361869E6	
5.500000000E1	1.250612185575E6	
5.600000000E1	1.071713611742E6	
5.700000000E1	1.056574673831E6	
5.800000000E1	1.020935733677E6	
5.900000000E1	7.224114565767E6	
6.000000000E1	6.985190681538E6	
6.100000000E1	8.605567433847E6	
6.200000000E1	2.216141613817E7	
6.300000000E1	2.085942611101E7	
6.400000000E1	1.77390097898E7	
6.500000000E1	1.793886226965E7	
6.600000000E1	1.512514798109E7	
6.700000000E1	1.364745375247E7	
6.800000000E1	1.844641220046E7	
6.900000000E1	1.892052506424E7	
7.000000000E1	1.862190098785E7	
7.100000000E1	1.838360599924E7	
7.200000000E1	1.808471134872E7	
7.300000000E1	1.832941455474E7	
7.400000000E1	1.805471171591E7	
7.500000000E1	1.269518019853E7	
7.600000000E1	1.536726599974E7	
7.700000000E1	1.461141357289E7	
7.800000000E1	1.379762039751E7	
7.900000000E1	1.253234290358E7	
8.000000000E1	1.174704482977E7	
8.100000000E1	1.131441408645E7	
8.200000000E1	1.047688158065E7	
8.300000000E1	1.002329202589E7	
8.400000000E1	9.712984858976E6	
8.500000000E1	9.122549196351E6	
8.600000000E1	8.910654862165E6	
8.700000000E1	8.797610808462E6	
8.800000000E1	8.687355295284E6	
8.900000000E1	9.174009339071E6	
9.000000000E1	1.017170731009E7	
9.100000000E1	9.119867559262E6	
9.200000000E1	8.64052622872E6	
9.300000000E1	8.481262271839E6	
9.400000000E1	8.364805505295E6	
9.500000000E1	8.092256175949E6	
9.600000000E1	8.004267586333E6	
9.700000000E1	2.439315210673E7	
9.800000000E1	2.634272694608E7	
9.900000000E1	2.844338655436E7	
1.000000000E2	2.828857464309E7	
