% Generated by the SUMO toolbox (Version 2014a (2014a), built on 2014-05-10 09:39)
% This file contains all the samples evaluated in this run. Each line contains the input values for one sample followed by outputs.
% Selected inputs are:
% [TURI,TLRI] -> [out]
% All inputs:
% [] -> [] (mapping UNKNOWN)
2.500000e+02 5.922222e+02 1.254880e+04 
2.166667e+02 9.577778e+02 1.196054e+04 
1.500000e+02 6.444444e+02 1.247390e+04 
1.833333e+02 8.011111e+02 1.219960e+04 
2.833333e+02 7.488889e+02 1.222607e+04 
2.166743e+02 9.176261e+02 1.201223e+04 
2.301631e+02 9.530857e+02 1.200237e+04 
2.211096e+02 9.925886e+02 1.198383e+04 
2.055581e+02 9.910763e+02 1.195377e+04 
1.895053e+02 9.403690e+02 1.203080e+04 
2.064878e+02 9.751865e+02 1.199232e+04 
1.762892e+02 9.925886e+02 1.201332e+04 
1.694102e+02 9.120386e+02 1.209906e+04 
4.444444e+02 6.473457e+02 1.258158e+04 
3.333333e+02 7.962757e+02 1.218783e+04 
3.312757e+02 6.832350e+02 1.243397e+04 
3.055327e+02 8.566644e+02 1.210040e+04 
3.308185e+02 8.928403e+02 1.202730e+04 
3.203729e+02 9.442267e+02 1.204436e+04 
3.388863e+02 9.525603e+02 1.196238e+04 
3.388880e+02 9.925913e+02 1.193865e+04 
3.295636e+02 9.925913e+02 1.199017e+04 
2.208505e+02 7.410448e+02 1.235835e+04 
3.388863e+02 5.400040e+02 1.270824e+04 
2.847279e+02 9.168381e+02 1.207885e+04 
2.726109e+02 8.510768e+02 1.225833e+04 
2.877458e+02 9.925807e+02 1.195935e+04 
2.754458e+02 9.845814e+02 1.200144e+04 
2.888432e+02 9.669829e+02 1.202510e+04 
1.894376e+02 8.813070e+02 1.207969e+04 
4.407407e+02 9.916255e+02 1.204336e+04 
4.429355e+02 9.252195e+02 1.208604e+04 
4.499771e+02 8.271506e+02 1.221027e+04 
1.833325e+02 5.400013e+02 1.274611e+04 
1.500025e+02 7.919617e+02 1.230356e+04 
1.888889e+02 9.896914e+02 1.197935e+04 
2.894376e+02 6.565150e+02 1.244361e+04 
1.833308e+02 7.124862e+02 1.229177e+04 
1.500008e+02 9.745391e+02 1.203165e+04 
2.556927e+02 7.403285e+02 1.225985e+04 
2.892090e+02 5.400013e+02 1.275717e+04 
3.388886e+02 9.751847e+02 1.199105e+04 
3.388880e+02 9.213299e+02 1.198910e+04 
3.299599e+02 9.257448e+02 1.203357e+04 
3.236549e+02 8.491427e+02 1.218919e+04 
3.055530e+02 9.034741e+02 1.202548e+04 
3.055553e+02 9.925922e+02 1.196830e+04 
2.166692e+02 6.439151e+02 1.256029e+04 
3.388886e+02 7.488876e+02 1.234348e+04 
2.905045e+02 8.589328e+02 1.215168e+04 
2.611645e+02 9.149756e+02 1.206113e+04 
2.371742e+02 8.287266e+02 1.219788e+04 
4.401260e+02 7.562872e+02 1.225898e+04 
2.085048e+02 8.229957e+02 1.219784e+04 
3.055530e+02 7.429630e+02 1.227624e+04 
2.253874e+02 5.400013e+02 1.276333e+04 
4.499997e+02 9.693814e+02 1.195772e+04 
1.500003e+02 5.400013e+02 1.274500e+04 
1.500008e+02 8.707394e+02 1.218000e+04 
1.500008e+02 9.337202e+02 1.205448e+04 
1.500025e+02 7.195621e+02 1.236552e+04 
2.573388e+02 6.742090e+02 1.231139e+04 
2.386374e+02 8.917657e+02 1.203719e+04 
1.720012e+02 9.588881e+02 1.203622e+04 
3.203729e+02 6.193840e+02 1.244103e+04 
1.822131e+02 6.413044e+02 1.261103e+04 
2.933699e+02 7.969682e+02 1.212839e+04 
2.256719e+02 9.309264e+02 1.199327e+04 
2.515623e+02 8.720660e+02 1.196932e+04 
1.698979e+02 7.557540e+02 1.216415e+04 
4.401243e+02 9.607294e+02 1.181536e+04 
2.372657e+02 6.919507e+02 1.227920e+04 
1.669867e+02 8.339082e+02 1.201372e+04 
2.584362e+02 8.013141e+02 1.210491e+04 
4.499992e+02 6.000318e+02 1.244071e+04 
2.532354e+02 9.925913e+02 1.186799e+04 
2.733882e+02 6.089252e+02 1.244016e+04 
3.388886e+02 8.378605e+02 1.203987e+04 
3.388886e+02 6.254810e+02 1.235644e+04 
4.401237e+02 8.011107e+02 1.213293e+04 
2.611114e+02 5.400004e+02 1.270944e+04 
1.663771e+02 6.930570e+02 1.228627e+04 
4.401311e+02 9.570972e+02 1.187651e+04 
4.401243e+02 8.359246e+02 1.206729e+04 
2.388863e+02 7.695080e+02 1.217559e+04 
4.499992e+02 8.898661e+02 1.192196e+04 
4.401243e+02 9.736052e+02 1.194729e+04 
4.485597e+02 9.406927e+02 1.192772e+04 
2.055632e+02 5.748029e+02 1.243578e+04 
4.448560e+02 9.667680e+02 1.180266e+04 
4.499992e+02 7.744720e+02 1.200928e+04 
3.203712e+02 5.400013e+02 1.243326e+04 
1.652492e+02 5.897508e+02 1.247191e+04 
2.990398e+02 5.930460e+02 1.238360e+04 
2.281207e+02 6.017856e+02 1.245774e+04 
3.055530e+02 6.828132e+02 1.238460e+04 
2.413860e+02 6.386380e+02 1.241840e+04 
3.231062e+02 7.350991e+02 1.227143e+04 
2.772596e+02 6.989232e+02 1.231266e+04 
3.310776e+02 5.785040e+02 1.258354e+04 
