% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2014a
% 
%   * Name: best_sigma2_out
%   * Description: Hyperparameter values for each new best model
%   * Date: 14/05/2015 at 16:49
% 
%   * Column1: 	Number of samples: 	Number of samples
%   * Column2: 	sigma2: 	Process variance
%
% ----------------------------------------------------------------------------

6.000000000E0	5.6446792239E4	
7.000000000E0	6.922220721391E4	
8.000000000E0	6.494762749785E4	
9.000000000E0	1.070775417939E5	
1.000000000E1	2.228165265024E5	
1.100000000E1	2.064145656675E5	
1.200000000E1	5.73135021246E7	
1.300000000E1	5.413806318232E7	
1.400000000E1	5.056290785303E7	
1.500000000E1	4.740134353453E7	
1.600000000E1	4.577212734018E7	
1.700000000E1	4.322827971588E7	
1.800000000E1	4.099285616263E7	
1.900000000E1	4.696516529002E7	
2.000000000E1	4.67693126652E7	
2.100000000E1	4.454300373456E7	
2.200000000E1	4.26095521266E7	
2.300000000E1	4.079282645284E7	
2.400000000E1	3.921399108348E7	
2.500000000E1	3.766220555706E7	
2.600000000E1	3.623232558038E7	
2.700000000E1	3.504225159695E7	
2.800000000E1	3.382929697751E7	
2.900000000E1	3.271979008455E7	
3.000000000E1	3.165922768704E7	
3.100000000E1	3.067430669112E7	
3.200000000E1	2.973055313562E7	
3.300000000E1	2.888587983538E7	
3.400000000E1	2.807631035336E7	
3.500000000E1	2.729686997968E7	
3.600000000E1	2.661905240E7	
3.700000000E1	2.591188453764E7	
3.800000000E1	2.524837699353E7	
3.900000000E1	2.468136657866E7	
4.000000000E1	2.407475091279E7	
4.100000000E1	2.352502949011E7	
4.200000000E1	2.296498983426E7	
4.300000000E1	2.24681261834E7	
4.400000000E1	2.198324841277E7	
4.500000000E1	2.14959516302E7	
4.600000000E1	2.104387461577E7	
4.700000000E1	2.060394746616E7	
4.800000000E1	2.500886615991E7	
4.900000000E1	2.677439888655E7	
5.000000000E1	2.789162474166E7	
5.100000000E1	3.340371708404E7	
5.200000000E1	3.521384457781E7	
5.300000000E1	3.45679069501E7	
5.400000000E1	4.342316532069E7	
5.500000000E1	4.458524906357E7	
5.600000000E1	4.879433454518E7	
5.700000000E1	4.843314978718E7	
5.800000000E1	5.680044674346E7	
5.900000000E1	5.588821413598E7	
6.000000000E1	5.49995526165E7	
6.100000000E1	5.409886787056E7	
6.200000000E1	5.323551106087E7	
6.300000000E1	5.266388876614E7	
6.400000000E1	5.184791594701E7	
6.500000000E1	5.106105655948E7	
6.600000000E1	5.028950917396E7	
6.700000000E1	4.953975956293E7	
6.800000000E1	4.882474907843E7	
6.900000000E1	4.817918934177E7	
7.000000000E1	4.749098265799E7	
7.100000000E1	4.682962095066E7	
7.200000000E1	4.618755829927E7	
7.300000000E1	4.555750068842E7	
7.400000000E1	4.494832929998E7	
7.500000000E1	4.434959141824E7	
7.600000000E1	4.385132317885E7	
7.700000000E1	4.411894081693E7	
7.800000000E1	4.362237182822E7	
7.900000000E1	4.313191380729E7	
8.000000000E1	4.261452055215E7	
8.100000000E1	4.493977467041E7	
8.200000000E1	4.439846107606E7	
8.300000000E1	4.440835995253E7	
8.400000000E1	5.447736466169E7	
8.500000000E1	5.711597547076E7	
8.600000000E1	5.779365318283E7	
8.700000000E1	5.816695075904E7	
8.800000000E1	5.765959311464E7	
8.900000000E1	5.702482174898E7	
9.000000000E1	5.639952624001E7	
9.100000000E1	5.60470854542E7	
9.200000000E1	5.567311508287E7	
9.300000000E1	5.514225669674E7	
9.400000000E1	5.456222181929E7	
9.500000000E1	5.402743988809E7	
9.600000000E1	5.349433943999E7	
9.700000000E1	5.295676283196E7	
9.800000000E1	5.241710425565E7	
9.900000000E1	5.189900845244E7	
1.000000000E2	5.138786399286E7	
