% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2014a
% 
%   * Name: best_cvpe_out
%   * Description: Hyperparameter values for each new best model
%   * Date: 14/05/2015 at 16:49
% 
%   * Column1: 	Number of samples: 	Number of samples
%   * Column2: 	cvpe: 	Cross validated prediction error
%
% ----------------------------------------------------------------------------

6.000000000E0	8.12816070413E4	
7.000000000E0	7.531009764588E4	
8.000000000E0	4.433956153683E4	
9.000000000E0	5.45803761067E4	
1.000000000E1	8.163171870219E4	
1.100000000E1	7.416139542461E4	
1.200000000E1	6.292352699149E7	
1.300000000E1	5.879902044702E7	
1.400000000E1	5.207520584463E7	
1.500000000E1	4.835422019696E7	
1.600000000E1	4.286489271434E7	
1.700000000E1	4.014800547735E7	
1.800000000E1	3.787861368954E7	
1.900000000E1	4.325005530579E7	
2.000000000E1	4.26615235309E7	
2.100000000E1	4.010989418066E7	
2.200000000E1	3.821107458117E7	
2.300000000E1	3.646065989709E7	
2.400000000E1	3.504017694369E7	
2.500000000E1	3.353989831983E7	
2.600000000E1	3.220956500229E7	
2.700000000E1	3.116276951488E7	
2.800000000E1	3.004238422459E7	
2.900000000E1	2.904855506351E7	
3.000000000E1	2.807486070081E7	
3.100000000E1	2.717775513296E7	
3.200000000E1	2.628898856532E7	
3.300000000E1	2.555031165628E7	
3.400000000E1	2.484925508395E7	
3.500000000E1	2.417180797635E7	
3.600000000E1	2.359531292404E7	
3.700000000E1	2.294029704789E7	
3.800000000E1	2.235517421385E7	
3.900000000E1	2.188986938078E7	
4.000000000E1	2.132812848797E7	
4.100000000E1	2.086715752219E7	
4.200000000E1	2.035307868673E7	
4.300000000E1	1.991594823176E7	
4.400000000E1	1.948451265865E7	
4.500000000E1	1.902078862334E7	
4.600000000E1	1.861116838914E7	
4.700000000E1	1.821787703776E7	
4.800000000E1	2.090796890396E7	
4.900000000E1	2.192055157301E7	
5.000000000E1	2.255711316338E7	
5.100000000E1	2.485817932948E7	
5.200000000E1	2.529632538463E7	
5.300000000E1	2.472430021233E7	
5.400000000E1	2.457202566924E7	
5.500000000E1	2.401497121743E7	
5.600000000E1	2.615524866369E7	
5.700000000E1	2.566712392868E7	
5.800000000E1	2.806199863831E7	
5.900000000E1	2.763393577879E7	
6.000000000E1	2.724239088484E7	
6.100000000E1	2.675818285636E7	
6.200000000E1	2.63242279355E7	
6.300000000E1	2.607389031363E7	
6.400000000E1	2.563233834211E7	
6.500000000E1	2.522070896716E7	
6.600000000E1	2.482569786741E7	
6.700000000E1	2.438777364424E7	
6.800000000E1	2.399746739316E7	
6.900000000E1	2.375120234947E7	
7.000000000E1	2.340480067193E7	
7.100000000E1	2.30635372453E7	
7.200000000E1	2.274737855522E7	
7.300000000E1	2.238606039737E7	
7.400000000E1	2.207183586533E7	
7.500000000E1	2.176073563543E7	
7.600000000E1	2.158350421799E7	
7.700000000E1	2.033240188129E7	
7.800000000E1	2.015897023986E7	
7.900000000E1	1.997086386132E7	
8.000000000E1	1.974793187531E7	
8.100000000E1	1.758379937107E7	
8.200000000E1	1.733534563938E7	
8.300000000E1	1.753734258746E7	
8.400000000E1	1.879957748664E7	
8.500000000E1	1.768268917147E7	
8.600000000E1	1.765667070106E7	
8.700000000E1	1.754389837883E7	
8.800000000E1	1.727615999972E7	
8.900000000E1	1.709115041186E7	
9.000000000E1	1.688993276958E7	
9.100000000E1	1.665717716268E7	
9.200000000E1	1.656611806208E7	
9.300000000E1	1.645886416318E7	
9.400000000E1	1.62427816815E7	
9.500000000E1	1.609910890155E7	
9.600000000E1	1.588288600364E7	
9.700000000E1	1.571065749776E7	
9.800000000E1	1.554756283753E7	
9.900000000E1	1.53841894857E7	
1.000000000E2	1.521575246263E7	
