% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2014a
% 
%   * Name: best_cvpe_out
%   * Description: Hyperparameter values for each new best model
%   * Date: 12/05/2015 at 10:42
% 
%   * Column1: 	Number of samples: 	Number of samples
%   * Column2: 	cvpe: 	Cross validated prediction error
%
% ----------------------------------------------------------------------------

6.000000000E0	1.819816754247E5	
7.000000000E0	3.347484016235E5	
8.000000000E0	2.142217611377E5	
9.000000000E0	1.797891292493E5	
1.000000000E1	1.576090541562E5	
1.100000000E1	1.758198238099E5	
1.200000000E1	1.51376824753E5	
1.300000000E1	1.42590104567E5	
1.400000000E1	1.540393077719E5	
1.500000000E1	1.903038906867E5	
1.600000000E1	1.99331172993E5	
1.700000000E1	5.321047993694E5	
1.800000000E1	5.050386519913E5	
1.900000000E1	5.11711737241E5	
2.000000000E1	5.498666903759E5	
2.100000000E1	4.847379127675E5	
2.200000000E1	4.673420309112E5	
2.300000000E1	4.457962373701E5	
2.400000000E1	4.220802634691E5	
2.500000000E1	4.054408944347E5	
2.600000000E1	3.927365457147E5	
2.700000000E1	4.096409147956E5	
2.800000000E1	3.945999982257E5	
2.900000000E1	3.731714143114E5	
3.000000000E1	3.574503470903E5	
3.100000000E1	3.512665913137E5	
3.200000000E1	3.418716660697E5	
3.300000000E1	3.303819436616E5	
3.400000000E1	3.429281155119E5	
3.500000000E1	3.401850227555E5	
3.600000000E1	3.269751227984E5	
3.700000000E1	3.211745155949E5	
3.800000000E1	3.14956535908E5	
3.900000000E1	3.176425543112E5	
4.000000000E1	3.139131671136E5	
4.100000000E1	3.186471627933E5	
4.200000000E1	3.141055739345E5	
4.300000000E1	3.071767305243E5	
4.400000000E1	2.997144293362E5	
4.500000000E1	2.926902381857E5	
4.600000000E1	2.908107307412E5	
4.700000000E1	2.950149031792E5	
4.800000000E1	3.037447948376E5	
4.900000000E1	2.918229022878E5	
5.000000000E1	2.886954577347E5	
5.100000000E1	2.807494734052E5	
5.200000000E1	2.757469813489E5	
5.300000000E1	2.743054124125E5	
5.400000000E1	2.758009656805E5	
5.500000000E1	1.004089590955E6	
5.600000000E1	1.14630729039E6	
5.700000000E1	1.911545405457E6	
5.800000000E1	2.543988668274E6	
5.900000000E1	2.765677875089E6	
6.000000000E1	2.656003550082E6	
6.100000000E1	2.522083908979E6	
6.200000000E1	2.36909605354E6	
6.300000000E1	2.267754296209E6	
6.400000000E1	2.079205382209E6	
6.500000000E1	2.047033065936E6	
6.600000000E1	2.068441825499E6	
6.700000000E1	2.039845745285E6	
6.800000000E1	2.295773915773E6	
6.900000000E1	2.397084376879E6	
7.000000000E1	2.465752797923E6	
7.100000000E1	2.397267896339E6	
7.200000000E1	2.324041752683E6	
7.300000000E1	4.124849739678E6	
7.400000000E1	4.375676480237E6	
7.500000000E1	4.42516465922E6	
7.600000000E1	4.160289259517E6	
7.700000000E1	4.135570292275E6	
7.800000000E1	4.013693857542E6	
7.900000000E1	3.96174172272E6	
8.000000000E1	3.923126671458E6	
8.100000000E1	3.65061882574E6	
8.200000000E1	3.607001107152E6	
8.300000000E1	3.562230502485E6	
8.400000000E1	3.450405485055E6	
8.500000000E1	3.409079960995E6	
8.600000000E1	3.366401603052E6	
8.700000000E1	3.342185414788E6	
8.800000000E1	3.296697485819E6	
8.900000000E1	3.211018347303E6	
9.000000000E1	3.17537735261E6	
9.100000000E1	3.130186846899E6	
9.200000000E1	3.060257096473E6	
9.300000000E1	3.007848456451E6	
9.400000000E1	2.97568596321E6	
9.500000000E1	2.855652634509E6	
9.600000000E1	3.296673665945E6	
9.700000000E1	3.488501308633E6	
9.800000000E1	3.450962932392E6	
9.900000000E1	3.110620801364E6	
1.000000000E2	3.077648525915E6	
