% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2014a
% 
%   * Name: model_sigma2_out
%   * Description: Hyperparameter optimization process
%   * Date: 12/05/2015 at 10:42
% 
%   * Column1: 	Model #: 	Model #
%   * Column2: 	sigma2: 	Process variance
%
% ----------------------------------------------------------------------------

0.000000000E0	1.263802211304E5	
1.000000000E0	1.393695961815E5	
2.000000000E0	1.539912223218E5	
3.000000000E0	1.554350768779E5	
4.000000000E0	1.397724929548E5	
5.000000000E0	1.535946670787E5	
6.000000000E0	1.566561047766E5	
7.000000000E0	1.464288791449E5	
8.000000000E0	1.424045640882E5	
9.000000000E0	1.790888790847E5	
1.000000000E1	1.676199011151E5	
1.100000000E1	1.86536375203E5	
1.200000000E1	1.769136885587E5	
1.300000000E1	1.653490076187E5	
1.400000000E1	1.586785295339E5	
1.500000000E1	1.727270941709E5	
1.600000000E1	1.66146675151E5	
1.700000000E1	1.588802066446E5	
1.800000000E1	1.527304056469E5	
1.900000000E1	1.535441023297E5	
2.000000000E1	1.488264530985E5	
2.100000000E1	1.524731375497E5	
2.200000000E1	1.693585788125E5	
2.300000000E1	1.666751466562E5	
2.400000000E1	1.619163998915E5	
2.500000000E1	1.630483559594E5	
2.600000000E1	1.652846499126E5	
2.700000000E1	1.623449661626E5	
2.800000000E1	1.821544591087E5	
2.900000000E1	1.776097052615E5	
3.000000000E1	1.730073728487E5	
3.100000000E1	1.65691872172E5	
3.200000000E1	1.615026668625E5	
3.300000000E1	1.597681702134E5	
3.400000000E1	1.606621967816E5	
3.500000000E1	1.598966084052E5	
3.600000000E1	1.61366656401E5	
3.700000000E1	1.626727523741E5	
3.800000000E1	1.607653130974E5	
3.900000000E1	1.578112840591E5	
4.000000000E1	1.664205631135E5	
4.100000000E1	1.679595828152E5	
4.200000000E1	1.912840204663E5	
4.300000000E1	1.905330598753E5	
4.400000000E1	1.869661315257E5	
4.500000000E1	1.854521764393E5	
4.600000000E1	1.838324788678E5	
4.700000000E1	1.804803812576E5	
4.800000000E1	1.782190250651E5	
4.900000000E1	1.899289547002E5	
5.000000000E1	1.872371596054E5	
5.100000000E1	1.848774930379E5	
5.200000000E1	1.852374806644E5	
5.300000000E1	1.840424239404E5	
5.400000000E1	1.82737258467E5	
5.500000000E1	1.79890040244E5	
5.600000000E1	1.773129141301E5	
5.700000000E1	1.749593705268E5	
5.800000000E1	1.729706432496E5	
5.900000000E1	1.703290051311E5	
6.000000000E1	1.677082236001E5	
6.100000000E1	1.660902271438E5	
6.200000000E1	1.648355440027E5	
6.300000000E1	1.627928023969E5	
6.400000000E1	1.70071926702E5	
6.500000000E1	1.722692633399E5	
6.600000000E1	1.704323858371E5	
6.700000000E1	1.707259542914E5	
6.800000000E1	1.688134502567E5	
6.900000000E1	1.685215757544E5	
7.000000000E1	1.670669916393E5	
7.100000000E1	1.661388278248E5	
7.200000000E1	1.645698178452E5	
7.300000000E1	1.632248735973E5	
7.400000000E1	1.625763414265E5	
7.500000000E1	1.624418033197E5	
7.600000000E1	1.627236944076E5	
7.700000000E1	1.615813514244E5	
7.800000000E1	1.600104295704E5	
7.900000000E1	1.590127875767E5	
8.000000000E1	1.575493034795E5	
8.100000000E1	1.585693801027E5	
8.200000000E1	1.581727492689E5	
8.300000000E1	1.621930052186E5	
8.400000000E1	1.618491775459E5	
8.500000000E1	1.606701193345E5	
8.600000000E1	1.642946821329E5	
8.700000000E1	1.628273236514E5	
8.800000000E1	1.611879542945E5	
8.900000000E1	1.60674182271E5	
9.000000000E1	1.616888434076E5	
9.100000000E1	1.83633506791E5	
9.200000000E1	1.819474588972E5	
9.300000000E1	1.909637795273E5	
9.400000000E1	1.901630636299E5	
