% Generated by the SUMO toolbox (Version 2014a (2014a), built on 2014-05-10 09:39)
% This file contains all the samples evaluated in this run. Each line contains the input values for one sample followed by outputs.
% Selected inputs are:
% [TURI,TAVI] -> [out]
% All inputs:
% [] -> [] (mapping UNKNOWN)
6.670000e+02 1.000000e+00 -5.782800e+04 
5.560000e+02 4.824444e+02 -5.801100e+04 
3.340000e+02 6.977778e+01 -5.754574e+04 
8.890000e+02 4.136667e+02 -5.781318e+04 
4.450000e+02 2.761111e+02 -5.783020e+04 
7.780000e+02 2.073333e+02 -5.728280e+04 
5.361296e+02 4.435270e+02 -5.765836e+04 
5.720638e+02 5.139086e+02 -5.817261e+04 
6.164739e+02 5.080278e+02 -5.773100e+04 
5.304959e+02 5.266138e+02 -5.788040e+04 
3.182407e+02 2.759696e+02 -5.783752e+04 
3.812778e+02 2.063427e+02 -3.257260e+04 
3.809733e+02 3.211610e+02 -5.764480e+04 
5.079609e+02 3.004994e+02 -5.814100e+04 
2.812407e+02 1.141518e+00 -5.793296e+04 
3.155000e+02 3.105000e+02 -5.720256e+04 
3.940679e+02 7.368313e+00 -5.816580e+04 
5.406975e+02 9.349566e+00 -5.797572e+04 
4.461420e+02 3.048393e+02 -5.588800e+04 
5.400885e+02 2.601196e+02 -5.709600e+04 
5.968827e+02 3.375771e+02 -5.782778e+04 
6.151543e+02 6.850412e+01 -5.789100e+04 
4.737016e+02 6.029607e+01 -5.766540e+04 
7.416852e+02 7.246662e+01 -5.785900e+04 
6.999650e+02 1.412444e+02 -5.728837e+04 
8.348704e+02 1.305834e+02 -5.708756e+04 
2.049568e+02 6.331512e+01 -5.830386e+04 
1.440514e+02 1.047173e+00 -5.757600e+04 
8.116667e+01 6.850412e+01 -5.774514e+04 
8.572531e+02 3.339920e+02 -5.730137e+04 
9.842407e+02 3.659751e+02 -5.756221e+04 
9.999239e+02 4.542824e+02 -5.581680e+04 
1.373519e+02 1.385084e+02 -5.784460e+04 
8.094424e+02 1.047173e+00 -5.757960e+04 
6.087593e+02 6.051406e+02 -5.731980e+04 
7.674177e+02 4.118269e+02 -5.818081e+04 
8.079198e+02 4.806991e+02 -5.753660e+04 
9.883519e+02 2.748374e+02 -5.727360e+04 
9.330802e+02 4.189872e+01 -5.818820e+04 
9.999239e+02 1.043554e+02 -5.744083e+04 
7.718333e+02 5.980647e+02 -5.762667e+04 
9.029321e+02 5.991968e+02 -5.653800e+04 
9.339938e+02 1.958704e+02 -5.789980e+04 
8.732407e+02 2.509681e+02 -5.642460e+04 
9.938333e+02 4.820988e+00 -5.749711e+04 
6.568745e+02 4.189972e+02 -5.772478e+04 
7.386399e+02 3.428605e+02 -5.746580e+04 
3.597579e+02 2.951217e+02 -5.561300e+04 
2.517806e+02 2.531834e+02 -5.639686e+04 
3.761008e+02 3.755669e+02 -5.813118e+04 
4.893848e+02 2.679188e+02 -5.767598e+04 
5.749060e+02 2.968199e+02 -5.751617e+04 
6.268786e+02 2.030406e+02 -5.743520e+04 
3.648333e+02 3.563519e+02 -5.695664e+04 
4.281749e+02 4.114496e+02 -5.665778e+04 
5.575988e+02 3.619811e+02 -5.308968e+04 
6.717963e+02 3.684595e+02 -5.751670e+04 
2.723362e+02 2.761094e+02 -5.782180e+04 
3.800846e+01 1.005241e+00 -5.814620e+04 
9.999746e+02 5.520556e+02 -5.747677e+04 
6.809321e+02 5.616474e+02 -5.779400e+04 
9.023230e+02 5.191920e+02 -5.612150e+04 
5.700844e+02 5.640060e+02 -5.754800e+04 
9.999915e+02 1.767497e+02 -5.798660e+04 
9.999746e+02 6.097635e+02 -5.756218e+04 
8.435494e+02 6.010738e+01 -5.783240e+04 
7.240226e+02 4.670190e+02 -5.791320e+04 
2.182037e+02 1.250170e+02 -5.775800e+04 
5.790679e+02 1.307721e+02 -5.801152e+04 
8.998868e+02 1.047173e+00 -5.777547e+04 
6.957693e+02 6.098055e+02 -5.766200e+04 
9.291214e+02 1.314325e+02 -5.802160e+04 
7.800556e+02 2.818190e+02 -5.711016e+04 
7.786852e+02 5.387215e+02 -5.770859e+04 
4.680002e+02 1.005241e+00 -5.801137e+04 
8.249225e+02 3.829572e+02 -5.717148e+04 
3.990926e+02 3.690885e+02 -5.766400e+04 
2.740844e+02 5.067284e+01 -5.747198e+04 
1.571461e+02 9.391447e+01 -5.783760e+04 
9.433834e+02 3.227649e+02 -5.684617e+04 
2.846582e+02 2.531799e+02 -5.745560e+04 
5.451639e+02 8.605235e+01 -5.818460e+04 
1.860085e+02 1.843917e+02 -5.566920e+04 
5.405960e+02 2.990213e+02 -5.748900e+04 
6.166770e+02 2.492070e+02 -5.754420e+04 
6.592599e+02 3.190854e+02 -5.793382e+04 
5.822654e+02 2.109656e+02 -5.754993e+04 
5.915027e+02 4.382436e+02 -5.770255e+04 
7.337167e+02 2.538828e+01 -5.778240e+04 
9.999915e+02 2.236394e+02 -5.815244e+04 
6.328169e+02 1.453956e+02 -5.723672e+04 
7.984287e+02 3.227335e+02 -5.784131e+04 
3.800282e+01 3.920813e+01 -5.735284e+04 
2.155983e+02 1.005241e+00 -5.756460e+04 
3.978237e+02 4.737075e+01 -5.774000e+04 
2.501790e+02 9.262508e+01 -5.807761e+04 
9.285123e+02 3.822025e+02 -5.776640e+04 
9.999915e+02 5.130181e+01 -5.748480e+04 
9.120679e+02 8.658698e+01 -5.760428e+04 
1.286728e+02 3.875387e+01 -5.782220e+04 
