% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2014a
% 
%   * Name: model_cvpe_out
%   * Description: Hyperparameter optimization process
%   * Date: 11/05/2015 at 15:00
% 
%   * Column1: 	Model #: 	Model #
%   * Column2: 	cvpe: 	Cross validated prediction error
%
% ----------------------------------------------------------------------------

0.000000000E0	1.535336454741E8	
1.000000000E0	1.596675109843E8	
2.000000000E0	1.443645764324E8	
3.000000000E0	1.419487183362E8	
4.000000000E0	1.28831042222E8	
5.000000000E0	1.228391245155E8	
6.000000000E0	1.184804109299E8	
7.000000000E0	1.231889371975E8	
8.000000000E0	1.0781778846E8	
9.000000000E0	9.395530523669E7	
1.000000000E1	8.644623748133E7	
1.100000000E1	8.047513703752E7	
1.200000000E1	7.586422439214E7	
1.300000000E1	7.213529439406E7	
1.400000000E1	6.835688420089E7	
1.500000000E1	6.511694554279E7	
1.600000000E1	6.176568543936E7	
1.700000000E1	5.906122772552E7	
1.800000000E1	5.731103644455E7	
1.900000000E1	5.486814704948E7	
2.000000000E1	5.266118161895E7	
2.100000000E1	5.040160092339E7	
2.200000000E1	4.83535414387E7	
2.300000000E1	4.645310880969E7	
2.400000000E1	4.46421962932E7	
2.500000000E1	4.415106102777E7	
2.600000000E1	4.294926311661E7	
2.700000000E1	4.157030099725E7	
2.800000000E1	4.01712438133E7	
2.900000000E1	3.909228050213E7	
3.000000000E1	3.858191737757E7	
3.100000000E1	3.83510467757E7	
3.200000000E1	3.717122911102E7	
3.300000000E1	3.635421496496E7	
3.400000000E1	3.620097793024E7	
3.500000000E1	3.572439025259E7	
3.600000000E1	5.408746776611E7	
3.700000000E1	3.645018041978E7	
3.800000000E1	3.573221924168E7	
3.900000000E1	3.502208548463E7	
4.000000000E1	3.432750749915E7	
4.100000000E1	7.416602625887E7	
4.200000000E1	6.919653971323E7	
4.300000000E1	7.078779087342E7	
4.400000000E1	7.099824257539E7	
4.500000000E1	7.090819000129E7	
4.600000000E1	7.092521433495E7	
4.700000000E1	7.081068830664E7	
4.800000000E1	7.030573391842E7	
4.900000000E1	6.973058168484E7	
5.000000000E1	6.938901970583E7	
5.100000000E1	6.861196089378E7	
5.200000000E1	6.758825973661E7	
5.300000000E1	6.665421398191E7	
5.400000000E1	6.584233499709E7	
5.500000000E1	6.484218280918E7	
5.600000000E1	6.384808171055E7	
5.700000000E1	6.312819991507E7	
5.800000000E1	6.275607551649E7	
5.900000000E1	6.225631958187E7	
6.000000000E1	6.171778894644E7	
6.100000000E1	6.143602535356E7	
6.200000000E1	6.077476838427E7	
6.300000000E1	6.01520515896E7	
6.400000000E1	5.970104886574E7	
6.500000000E1	5.901733595888E7	
6.600000000E1	5.82865588754E7	
6.700000000E1	5.782348218881E7	
6.800000000E1	5.708414186439E7	
6.900000000E1	5.65050097176E7	
7.000000000E1	5.605076228228E7	
7.100000000E1	5.527820421607E7	
7.200000000E1	5.46211268967E7	
7.300000000E1	5.407628168102E7	
7.400000000E1	5.338316187649E7	
7.500000000E1	5.283773027698E7	
7.600000000E1	5.251232536397E7	
7.700000000E1	5.197534650878E7	
7.800000000E1	5.143027506728E7	
7.900000000E1	5.101840848162E7	
8.000000000E1	5.04644168885E7	
8.100000000E1	4.995538281763E7	
8.200000000E1	4.962477792556E7	
8.300000000E1	4.903372995053E7	
8.400000000E1	4.845706785334E7	
8.500000000E1	4.803556728111E7	
8.600000000E1	4.749689456357E7	
8.700000000E1	4.69624980601E7	
8.800000000E1	4.659099690075E7	
8.900000000E1	4.613406911267E7	
9.000000000E1	4.566985135649E7	
9.100000000E1	4.526298194276E7	
9.200000000E1	4.479010712202E7	
9.300000000E1	4.441175489786E7	
9.400000000E1	4.393939144886E7	
