% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2014a
% 
%   * Name: best_cvpe_out
%   * Description: Hyperparameter values for each new best model
%   * Date: 11/05/2015 at 15:00
% 
%   * Column1: 	Number of samples: 	Number of samples
%   * Column2: 	cvpe: 	Cross validated prediction error
%
% ----------------------------------------------------------------------------

6.000000000E0	1.535336454741E8	
7.000000000E0	2.592517371917E8	
8.000000000E0	4.716384271752E8	
9.000000000E0	4.690873153095E8	
1.000000000E1	4.139751432367E8	
1.100000000E1	3.633224516343E8	
1.200000000E1	3.306204707072E8	
1.300000000E1	3.373680638081E8	
1.400000000E1	3.011272812441E8	
1.500000000E1	2.772636640537E8	
1.600000000E1	2.590293808145E8	
1.700000000E1	2.451999145587E8	
1.800000000E1	2.330490277293E8	
1.900000000E1	2.253908874029E8	
2.000000000E1	2.208994254188E8	
2.100000000E1	2.098241030291E8	
2.200000000E1	1.997309865826E8	
2.300000000E1	1.919228684742E8	
2.400000000E1	1.841625110174E8	
2.500000000E1	1.791405043037E8	
2.600000000E1	1.743116615586E8	
2.700000000E1	1.688582029305E8	
2.800000000E1	1.639395369908E8	
2.900000000E1	1.605260695118E8	
3.000000000E1	1.554274572401E8	
3.100000000E1	1.50840394853E8	
3.200000000E1	1.46050982297E8	
3.300000000E1	1.420949515439E8	
3.400000000E1	1.375733610589E8	
3.500000000E1	1.33828472281E8	
3.600000000E1	1.301242847197E8	
3.700000000E1	1.266561055837E8	
3.800000000E1	1.231021894816E8	
3.900000000E1	1.201387623592E8	
4.000000000E1	1.17145631141E8	
4.100000000E1	1.141091148099E8	
4.200000000E1	1.11264665196E8	
4.300000000E1	1.095206235517E8	
4.400000000E1	1.07041461558E8	
4.500000000E1	1.048582962953E8	
4.600000000E1	1.031106630771E8	
4.700000000E1	1.526431358804E8	
4.800000000E1	2.044311661781E8	
4.900000000E1	1.758712839565E8	
5.000000000E1	1.786062831635E8	
5.100000000E1	1.812072899755E8	
5.200000000E1	1.751470156115E8	
5.300000000E1	1.803217318173E8	
5.400000000E1	1.823002710872E8	
5.500000000E1	1.84591638613E8	
5.600000000E1	1.841154415882E8	
5.700000000E1	1.818925416528E8	
5.800000000E1	1.806019181466E8	
5.900000000E1	1.775829044533E8	
6.000000000E1	1.870835191305E8	
6.100000000E1	1.845575415683E8	
6.200000000E1	1.80773840433E8	
6.300000000E1	1.827852967549E8	
6.400000000E1	1.812116736924E8	
6.500000000E1	1.74380642306E8	
6.600000000E1	1.736921670637E8	
6.700000000E1	1.783019675095E8	
6.800000000E1	1.779675959732E8	
6.900000000E1	1.710592478606E8	
7.000000000E1	1.698213029701E8	
7.100000000E1	1.686938922139E8	
7.200000000E1	1.592534187762E8	
7.300000000E1	1.668984964322E8	
7.400000000E1	1.646554444833E8	
7.500000000E1	1.622161539192E8	
7.600000000E1	1.65820452931E8	
7.700000000E1	1.617334904479E8	
7.800000000E1	1.612563031623E8	
7.900000000E1	1.626122073524E8	
8.000000000E1	1.602923249341E8	
8.100000000E1	1.61827516218E8	
8.200000000E1	1.577898820352E8	
8.300000000E1	1.537848395563E8	
8.400000000E1	1.552842397376E8	
8.500000000E1	1.527404701662E8	
8.600000000E1	1.570745890177E8	
8.700000000E1	1.54199380256E8	
8.800000000E1	1.585185280173E8	
8.900000000E1	1.531257885446E8	
9.000000000E1	1.521498533779E8	
9.100000000E1	1.50448995702E8	
9.200000000E1	1.46722804949E8	
9.300000000E1	1.459804178855E8	
9.400000000E1	1.455979932307E8	
9.500000000E1	1.448004482439E8	
9.600000000E1	1.441422509514E8	
9.700000000E1	1.429970027157E8	
9.800000000E1	1.459207537347E8	
9.900000000E1	1.453162002882E8	
1.000000000E2	1.409701764894E8	
