% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2014a
% 
%   * Name: best_sigma2_out
%   * Description: Hyperparameter values for each new best model
%   * Date: 11/05/2015 at 15:00
% 
%   * Column1: 	Number of samples: 	Number of samples
%   * Column2: 	sigma2: 	Process variance
%
% ----------------------------------------------------------------------------

6.000000000E0	1.066220815642E8	
7.000000000E0	3.17380444466E8	
8.000000000E0	9.175636675609E8	
9.000000000E0	8.810354155267E8	
1.000000000E1	7.939401184135E8	
1.100000000E1	7.275781956684E8	
1.200000000E1	6.730626683399E8	
1.300000000E1	6.984740668898E8	
1.400000000E1	6.514840796931E8	
1.500000000E1	6.099429026662E8	
1.600000000E1	5.726476983351E8	
1.700000000E1	5.41252131394E8	
1.800000000E1	5.133286221678E8	
1.900000000E1	4.907066852906E8	
2.000000000E1	4.717113664901E8	
2.100000000E1	4.519401766558E8	
2.200000000E1	4.314862648793E8	
2.300000000E1	4.134613697266E8	
2.400000000E1	3.964895704157E8	
2.500000000E1	3.822388678397E8	
2.600000000E1	3.68920105878E8	
2.700000000E1	3.561551006666E8	
2.800000000E1	3.443833585543E8	
2.900000000E1	3.342022097525E8	
3.000000000E1	3.236707711601E8	
3.100000000E1	3.134369434073E8	
3.200000000E1	3.036441825453E8	
3.300000000E1	2.946796190801E8	
3.400000000E1	2.860134871924E8	
3.500000000E1	2.779533221321E8	
3.600000000E1	2.702483317579E8	
3.700000000E1	2.629693260337E8	
3.800000000E1	2.561168379432E8	
3.900000000E1	2.49643861386E8	
4.000000000E1	2.434455756572E8	
4.100000000E1	2.37545152635E8	
4.200000000E1	2.321602352829E8	
4.300000000E1	2.276934733292E8	
4.400000000E1	2.226144844137E8	
4.500000000E1	2.179427262894E8	
4.600000000E1	2.148543598886E8	
4.700000000E1	2.635870847254E8	
4.800000000E1	7.153138504393E8	
4.900000000E1	7.273114861715E8	
5.000000000E1	7.171536695021E8	
5.100000000E1	7.074179627331E8	
5.200000000E1	6.955016797091E8	
5.300000000E1	6.881255854876E8	
5.400000000E1	6.792222317585E8	
5.500000000E1	6.709456152651E8	
5.600000000E1	6.618550130471E8	
5.700000000E1	6.515248361207E8	
5.800000000E1	6.420043882436E8	
5.900000000E1	6.314465871338E8	
6.000000000E1	6.28690081744E8	
6.100000000E1	6.18857421699E8	
6.200000000E1	6.091435681517E8	
6.300000000E1	6.033237953337E8	
6.400000000E1	5.95248386961E8	
6.500000000E1	5.886992233743E8	
6.600000000E1	5.817983303191E8	
6.700000000E1	5.781782924167E8	
6.800000000E1	5.727221334677E8	
6.900000000E1	5.648476465762E8	
7.000000000E1	5.588052442078E8	
7.100000000E1	5.522587015923E8	
7.200000000E1	5.469450087739E8	
7.300000000E1	5.464606179794E8	
7.400000000E1	5.401126752859E8	
7.500000000E1	5.332626827147E8	
7.600000000E1	5.357778285701E8	
7.700000000E1	5.309982721784E8	
7.800000000E1	5.263577375192E8	
7.900000000E1	5.217162809518E8	
8.000000000E1	5.154505011647E8	
8.100000000E1	5.11188423462E8	
8.200000000E1	5.059586220569E8	
8.300000000E1	5.02939380014E8	
8.400000000E1	4.98872012741E8	
8.500000000E1	4.948445262754E8	
8.600000000E1	4.951028221861E8	
8.700000000E1	4.910253258908E8	
8.800000000E1	4.911605688941E8	
8.900000000E1	4.861970401539E8	
9.000000000E1	4.828363170554E8	
9.100000000E1	4.822569135403E8	
9.200000000E1	4.771831276856E8	
9.300000000E1	4.734627265679E8	
9.400000000E1	4.730069753577E8	
9.500000000E1	4.707636501137E8	
9.600000000E1	4.671360555038E8	
9.700000000E1	4.637190019872E8	
9.800000000E1	4.687683729234E8	
9.900000000E1	4.653718512082E8	
1.000000000E2	4.607444200476E8	
