% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2014a
% 
%   * Name: best_cvpe_out
%   * Description: Hyperparameter values for each new best model
%   * Date: 14/05/2015 at 12:49
% 
%   * Column1: 	Number of samples: 	Number of samples
%   * Column2: 	cvpe: 	Cross validated prediction error
%
% ----------------------------------------------------------------------------

6.000000000E0	3.192747713036E8	
7.000000000E0	1.17143928681E9	
8.000000000E0	4.44164760414E9	
9.000000000E0	4.362952736533E9	
1.000000000E1	4.077160984922E9	
1.100000000E1	3.768528425054E9	
1.200000000E1	3.481007646382E9	
1.300000000E1	3.203040016975E9	
1.400000000E1	2.950296881237E9	
1.500000000E1	2.723433940179E9	
1.600000000E1	2.525357509706E9	
1.700000000E1	2.356916647346E9	
1.800000000E1	2.218273911369E9	
1.900000000E1	2.092055875883E9	
2.000000000E1	1.978723332285E9	
2.100000000E1	1.8727288005E9	
2.200000000E1	1.779687125195E9	
2.300000000E1	1.719711021099E9	
2.400000000E1	1.643083612718E9	
2.500000000E1	1.569771706149E9	
2.600000000E1	1.508178598382E9	
2.700000000E1	1.44989876943E9	
2.800000000E1	1.399839496008E9	
2.900000000E1	1.350083214647E9	
3.000000000E1	1.303893542306E9	
3.100000000E1	1.263640730446E9	
3.200000000E1	1.223257504191E9	
3.300000000E1	1.18086802135E9	
3.400000000E1	1.146858311061E9	
3.500000000E1	3.410285603867E9	
3.600000000E1	3.35728204515E9	
3.700000000E1	3.300467627316E9	
3.800000000E1	5.206198013837E9	
3.900000000E1	5.670688245116E9	
4.000000000E1	6.262670412537E9	
4.100000000E1	6.49094556358E9	
4.200000000E1	8.897098323694E9	
4.300000000E1	8.889624474314E9	
4.400000000E1	1.415554596381E10	
4.500000000E1	1.951756857981E10	
4.600000000E1	1.923401551233E10	
4.700000000E1	2.741758280474E10	
4.800000000E1	2.803819279614E10	
4.900000000E1	2.938043315105E10	
5.000000000E1	3.180175751832E10	
5.100000000E1	3.12578459549E10	
5.200000000E1	3.986500872648E10	
5.300000000E1	3.798879531293E10	
5.400000000E1	3.746097822446E10	
5.500000000E1	3.715695232326E10	
5.600000000E1	3.680008733531E10	
5.700000000E1	3.811513852002E10	
5.800000000E1	4.374382998629E10	
5.900000000E1	4.276108688448E10	
6.000000000E1	4.254850076415E10	
6.100000000E1	4.344017500181E10	
6.200000000E1	4.276346621875E10	
6.300000000E1	4.935115123154E10	
6.400000000E1	5.061569427955E10	
6.500000000E1	4.97999754333E10	
6.600000000E1	6.117742454705E10	
6.700000000E1	6.156629819164E10	
6.800000000E1	6.269509601398E10	
6.900000000E1	6.105452781516E10	
7.000000000E1	6.012034597866E10	
7.100000000E1	5.92215524758E10	
7.200000000E1	5.831712484087E10	
7.300000000E1	5.890004288614E10	
7.400000000E1	5.860530382388E10	
7.500000000E1	5.722953358924E10	
7.600000000E1	6.016262748045E10	
7.700000000E1	6.526185268982E10	
7.800000000E1	6.584542221254E10	
7.900000000E1	6.633495211442E10	
8.000000000E1	6.667294466379E10	
8.100000000E1	6.337765939227E10	
8.200000000E1	6.397733555264E10	
8.300000000E1	5.542503686631E10	
8.400000000E1	5.431966430757E10	
8.500000000E1	7.647212213462E10	
8.600000000E1	8.293293642755E10	
8.700000000E1	9.761780588154E10	
8.800000000E1	9.657073525245E10	
8.900000000E1	9.604460632845E10	
9.000000000E1	9.634708637987E10	
9.100000000E1	9.393470397239E10	
9.200000000E1	8.315877937562E10	
9.300000000E1	1.104629053319E11	
9.400000000E1	1.121691575281E11	
9.500000000E1	1.167907201745E11	
9.600000000E1	1.210364501998E11	
9.700000000E1	1.38467222718E11	
9.800000000E1	1.368305215266E11	
9.900000000E1	1.359654210516E11	
1.000000000E2	1.457627504057E11	
