% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2014a
% 
%   * Name: model_cvpe_out
%   * Description: Hyperparameter optimization process
%   * Date: 14/05/2015 at 12:49
% 
%   * Column1: 	Model #: 	Model #
%   * Column2: 	cvpe: 	Cross validated prediction error
%
% ----------------------------------------------------------------------------

0.000000000E0	3.192747713036E8	
1.000000000E0	4.991983963067E8	
2.000000000E0	8.491867958985E8	
3.000000000E0	9.915608500108E8	
4.000000000E0	1.012701745911E9	
5.000000000E0	9.572872329329E8	
6.000000000E0	9.126139619411E8	
7.000000000E0	8.559197190918E8	
8.000000000E0	7.901753791032E8	
9.000000000E0	7.360281562259E8	
1.000000000E1	6.851702650272E8	
1.100000000E1	6.402408885567E8	
1.200000000E1	6.175593286361E8	
1.300000000E1	5.907698352335E8	
1.400000000E1	5.68309200772E8	
1.500000000E1	5.410251020985E8	
1.600000000E1	5.180380500419E8	
1.700000000E1	4.964128238733E8	
1.800000000E1	4.887822781574E8	
1.900000000E1	4.741699676647E8	
2.000000000E1	4.738270604164E8	
2.100000000E1	4.763071595013E8	
2.200000000E1	4.687571604019E8	
2.300000000E1	4.666485369431E8	
2.400000000E1	4.62361486197E8	
2.500000000E1	4.521230775348E8	
2.600000000E1	4.425532940844E8	
2.700000000E1	4.323316365573E8	
2.800000000E1	4.196375726879E8	
2.900000000E1	2.985469892745E9	
3.000000000E1	2.897920586425E9	
3.100000000E1	2.815457800116E9	
3.200000000E1	4.939678263602E9	
3.300000000E1	4.892672805503E9	
3.400000000E1	4.71472663462E9	
3.500000000E1	4.627716105544E9	
3.600000000E1	4.776013989445E9	
3.700000000E1	4.667781502058E9	
3.800000000E1	5.475859892209E9	
3.900000000E1	6.069302638676E9	
4.000000000E1	5.932127064957E9	
4.100000000E1	6.076162175499E9	
4.200000000E1	5.953128434172E9	
4.300000000E1	6.324605812209E9	
4.400000000E1	7.383997596458E9	
4.500000000E1	7.233175972673E9	
4.600000000E1	7.398445441648E9	
4.700000000E1	7.261999204986E9	
4.800000000E1	7.139889669473E9	
4.900000000E1	7.224396601317E9	
5.000000000E1	7.151140242377E9	
5.100000000E1	7.484774691222E9	
5.200000000E1	8.498677219836E9	
5.300000000E1	8.363467102099E9	
5.400000000E1	8.220338611681E9	
5.500000000E1	9.452085120493E9	
5.600000000E1	9.297033889102E9	
5.700000000E1	9.190906671869E9	
5.800000000E1	9.053073308451E9	
5.900000000E1	8.933033484828E9	
6.000000000E1	9.869456786022E9	
6.100000000E1	9.728908245052E9	
6.200000000E1	9.584043807288E9	
6.300000000E1	9.46868992933E9	
6.400000000E1	9.338178822535E9	
6.500000000E1	9.204980811528E9	
6.600000000E1	9.095698484844E9	
6.700000000E1	8.989113958448E9	
6.800000000E1	8.868786675176E9	
6.900000000E1	8.786468508358E9	
7.000000000E1	8.850714261286E9	
7.100000000E1	9.614638237544E9	
7.200000000E1	9.524904980091E9	
7.300000000E1	9.419290661836E9	
7.400000000E1	9.305940723267E9	
7.500000000E1	9.201980415601E9	
7.600000000E1	9.584875293368E9	
7.700000000E1	9.503564567434E9	
7.800000000E1	9.720635401476E9	
7.900000000E1	9.81195041341E9	
8.000000000E1	9.695539783075E9	
8.100000000E1	9.813124695075E9	
8.200000000E1	9.740020140342E9	
8.300000000E1	9.630491797079E9	
8.400000000E1	9.533858589297E9	
8.500000000E1	9.474277211371E9	
8.600000000E1	9.368274688084E9	
8.700000000E1	1.004228381283E10	
8.800000000E1	9.942573946743E9	
8.900000000E1	9.883390566762E9	
9.000000000E1	9.809011587808E9	
9.100000000E1	9.734880783858E9	
9.200000000E1	9.64511929534E9	
9.300000000E1	9.629904498863E9	
9.400000000E1	9.532170450301E9	
