% Generated by the SUMO toolbox (Version 2014a (2014a), built on 2014-05-10 09:39)
% This file contains all the samples evaluated in this run. Each line contains the input values for one sample followed by outputs.
% Selected inputs are:
% [TURI,TAVI] -> [out]
% All inputs:
% [] -> [] (mapping UNKNOWN)
6.670000e+02 1.000000e+00 2.132226e+05 
5.560000e+02 4.824444e+02 2.040428e+05 
3.340000e+02 6.977778e+01 2.139602e+05 
8.890000e+02 4.136667e+02 2.220842e+05 
4.450000e+02 2.761111e+02 2.337453e+05 
7.780000e+02 2.073333e+02 2.305071e+05 
5.607963e+02 5.148521e+02 2.324263e+05 
5.513560e+02 4.507916e+02 2.285517e+05 
6.352531e+02 4.773026e+02 2.348874e+05 
5.617099e+02 2.293530e+01 2.281779e+05 
7.732037e+02 1.141518e+00 2.168023e+05 
7.101667e+02 5.840916e+01 2.146388e+05 
5.005000e+02 4.786235e+02 2.220209e+05 
2.346481e+02 8.463717e+01 2.192892e+05 
2.827634e+02 1.689720e+01 2.191855e+05 
3.331626e+02 1.386027e+02 2.228945e+05 
8.296934e+02 7.378746e+01 2.211934e+05 
3.984835e+02 1.321773e+01 2.200016e+05 
4.434012e+02 9.416606e+01 2.176094e+05 
5.895741e+02 1.290738e+02 2.182341e+05 
4.904506e+02 1.656799e+02 2.176810e+05 
5.979486e+02 2.029463e+02 2.241355e+05 
9.993148e+02 3.546536e+02 2.242165e+05 
9.999239e+02 4.678681e+02 2.254314e+05 
1.167963e+02 2.321834e+01 2.216592e+05 
9.362778e+02 1.707590e+00 2.217384e+05 
9.979444e+02 8.473152e+01 2.222849e+05 
8.325864e+02 3.317277e+02 2.219632e+05 
9.999239e+02 1.824733e+02 2.203134e+05 
9.571379e+02 2.621008e+02 2.214336e+05 
9.294259e+02 6.093861e+02 2.248098e+05 
1.120085e+02 1.156244e+02 2.255396e+05 
2.230085e+02 2.299605e+02 2.244996e+05 
7.133642e+02 1.254887e+02 2.230042e+05 
6.858045e+02 3.074809e+02 2.250331e+05 
8.709568e+02 5.198524e+02 2.259635e+05 
7.777209e+02 6.097950e+02 2.261194e+05 
9.011049e+02 1.434143e+02 2.228718e+05 
3.100016e+02 3.194139e+02 2.258412e+05 
9.999915e+02 5.500744e+02 2.272935e+05 
7.712243e+02 3.855046e+02 2.272165e+05 
3.547840e+02 2.127582e+02 2.302334e+05 
2.230085e+02 1.585096e+02 2.305488e+05 
5.033615e+01 5.958673e+01 2.258344e+05 
9.049115e+02 2.121921e+02 2.263016e+05 
6.318525e+02 7.303269e+01 2.255202e+05 
1.002820e+00 1.001747e+00 1.801566e+05 
2.018613e+01 1.000582e+00 2.136435e+05 
1.845027e+02 3.384791e+01 2.112864e+05 
3.710028e+02 3.797006e+02 2.137239e+05 
5.580556e+02 3.219787e+02 2.141120e+05 
4.578663e+02 3.484268e+02 2.137146e+05 
6.519287e+02 6.098090e+02 2.147675e+05 
8.039102e+02 4.634653e+02 2.155480e+05 
7.576728e+02 5.393504e+02 2.160391e+05 
8.231461e+02 2.711265e+02 2.144369e+05 
5.880007e+02 2.672584e+02 2.159328e+05 
6.913875e+02 2.455904e+02 2.174234e+05 
9.182599e+02 3.138335e+02 2.176984e+05 
6.455562e+02 3.687740e+02 2.165270e+05 
9.180062e+02 5.900668e+01 2.192378e+05 
5.261310e+02 9.196466e+01 2.183221e+05 
4.982160e+02 2.229789e+02 2.162518e+05 
9.999915e+02 2.393117e+01 2.154361e+05 
1.414630e+02 6.595679e+01 2.162101e+05 
9.997716e+02 4.115439e+02 2.162609e+05 
8.076660e+02 1.360554e+02 2.141687e+05 
2.723362e+02 2.723355e+02 2.166532e+05 
7.010647e+02 5.741429e+02 2.168977e+05 
9.002421e+02 4.647023e+02 2.155634e+05 
4.675265e+02 4.350259e+01 2.169172e+05 
5.432183e+02 3.664783e+02 2.170766e+05 
6.870226e+02 1.806284e+02 2.150479e+05 
4.150802e+02 1.705439e+02 2.176450e+05 
9.999972e+02 6.098090e+02 2.188692e+05 
7.120446e+02 4.229282e+02 2.153667e+05 
4.452284e+02 3.976751e+02 2.193314e+05 
8.360377e+02 5.713545e+02 2.194208e+05 
9.993148e+02 3.003107e+02 2.170003e+05 
4.813148e+02 1.424554e+00 2.199429e+05 
8.517490e+02 1.001747e+00 2.173772e+05 
7.638480e+02 2.923542e+02 2.146385e+05 
1.859915e+02 1.005241e+00 2.180270e+05 
9.999991e+02 1.368218e+02 2.178848e+05 
6.053343e+02 6.098101e+02 2.159063e+05 
3.495055e+02 2.743867e+02 2.175215e+05 
1.503732e+02 1.589336e+02 2.184168e+05 
9.198841e+02 3.659122e+02 2.153962e+05 
4.298498e+02 2.203058e+02 2.185943e+05 
7.179829e+02 3.548947e+02 2.185109e+05 
7.410028e+02 4.824462e+02 2.165299e+05 
7.937254e+02 3.642669e+01 2.193268e+05 
3.878589e+02 3.307109e+02 2.187493e+05 
9.259746e+02 5.627271e+02 2.171863e+05 
9.498631e+02 5.085624e+02 2.190873e+05 
9.143180e+02 1.022273e+02 2.183225e+05 
9.491694e+02 4.296477e+02 2.173547e+05 
6.841465e+02 5.305868e+02 2.195879e+05 
9.999746e+02 2.302121e+02 2.171051e+05 
7.666564e+02 9.372578e+01 2.190647e+05 
