% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2014a
% 
%   * Name: model_cvpe_out
%   * Description: Hyperparameter optimization process
%   * Date: 05/05/2015 at 16:09
% 
%   * Column1: 	Model #: 	Model #
%   * Column2: 	cvpe: 	Cross validated prediction error
%
% ----------------------------------------------------------------------------

0.000000000E0	6.898876688918E4	
1.000000000E0	8.321180905802E2	
2.000000000E0	1.154177792191E4	
3.000000000E0	7.757028357498E3	
4.000000000E0	7.546032912418E3	
5.000000000E0	1.391226947051E4	
6.000000000E0	2.041481461879E4	
7.000000000E0	1.692553415166E4	
8.000000000E0	1.53701324406E4	
9.000000000E0	1.418693395049E4	
1.000000000E1	1.306573755395E4	
1.100000000E1	1.345666544151E4	
1.200000000E1	1.479054072296E4	
1.300000000E1	1.75077493961E4	
1.400000000E1	1.582333685971E4	
1.500000000E1	1.844062393408E4	
1.600000000E1	1.406676483072E4	
1.700000000E1	1.69026214471E4	
1.800000000E1	1.64247230004E4	
1.900000000E1	2.02791100691E4	
2.000000000E1	2.093636903137E4	
2.100000000E1	2.010015753568E4	
2.200000000E1	2.540611373089E4	
2.300000000E1	2.095033204271E4	
2.400000000E1	1.989121608627E4	
2.500000000E1	1.920375568848E4	
2.600000000E1	2.098079991112E4	
2.700000000E1	2.059209600797E4	
2.800000000E1	2.013409724891E4	
2.900000000E1	2.259781393719E4	
3.000000000E1	2.196711141572E4	
3.100000000E1	2.136964673426E4	
3.200000000E1	2.004430161387E4	
3.300000000E1	1.999408098277E4	
3.400000000E1	2.21783999415E4	
3.500000000E1	2.16107312025E4	
3.600000000E1	1.876275635675E4	
3.700000000E1	1.970941686883E4	
3.800000000E1	1.928136983831E4	
3.900000000E1	1.874993992684E4	
4.000000000E1	1.92115994289E4	
4.100000000E1	1.724676350634E4	
4.200000000E1	1.762021503818E4	
4.300000000E1	1.723058847185E4	
4.400000000E1	1.695989017505E4	
4.500000000E1	1.707005128956E4	
4.600000000E1	1.651316940435E4	
4.700000000E1	1.602258951408E4	
4.800000000E1	1.578014797542E4	
4.900000000E1	1.538230311256E4	
5.000000000E1	1.492513641329E4	
5.100000000E1	1.141498588911E4	
5.200000000E1	1.093558534788E4	
5.300000000E1	1.025347876105E4	
5.400000000E1	1.009200838829E4	
5.500000000E1	9.563211089437E3	
5.600000000E1	9.580537464946E3	
5.700000000E1	9.647543127778E3	
5.800000000E1	9.456969666284E3	
5.900000000E1	8.753248189204E3	
6.000000000E1	8.472985232611E3	
6.100000000E1	7.289926917002E3	
6.200000000E1	6.892244397044E3	
6.300000000E1	6.631427478192E3	
6.400000000E1	9.347538833126E3	
6.500000000E1	9.823116776825E3	
6.600000000E1	1.003649753415E4	
6.700000000E1	9.755678962912E3	
6.800000000E1	1.116562457911E4	
6.900000000E1	1.135754167441E4	
7.000000000E1	1.080480976248E4	
7.100000000E1	1.34550981659E4	
7.200000000E1	1.31458674271E4	
7.300000000E1	1.523760203975E4	
7.400000000E1	1.506368837811E4	
7.500000000E1	1.498555598974E4	
7.600000000E1	1.307674835025E4	
7.700000000E1	1.390875733073E4	
7.800000000E1	1.491773021543E4	
7.900000000E1	1.557170121945E4	
8.000000000E1	1.544848343936E4	
8.100000000E1	1.488354912819E4	
8.200000000E1	1.668280787667E4	
8.300000000E1	1.739085687773E4	
8.400000000E1	1.733334626703E4	
8.500000000E1	1.796741138575E4	
8.600000000E1	1.833040546635E4	
8.700000000E1	2.315426786865E4	
8.800000000E1	2.333941854787E4	
8.900000000E1	2.299128377012E4	
9.000000000E1	2.23369744737E4	
9.100000000E1	2.174542677621E4	
9.200000000E1	2.11763488028E4	
9.300000000E1	2.09547324162E4	
9.400000000E1	2.077527732928E4	
9.500000000E1	2.166508554158E4	
