% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2014a
% 
%   * Name: best_cvpe_out
%   * Description: Hyperparameter values for each new best model
%   * Date: 05/05/2015 at 16:09
% 
%   * Column1: 	Number of samples: 	Number of samples
%   * Column2: 	cvpe: 	Cross validated prediction error
%
% ----------------------------------------------------------------------------

5.000000000E0	6.898876688918E4	
6.000000000E0	3.137823427616E4	
7.000000000E0	2.409244113012E4	
8.000000000E0	2.130855313045E4	
9.000000000E0	2.170554729228E4	
1.000000000E1	1.964371296713E4	
1.100000000E1	2.54483158275E4	
1.200000000E1	2.071654145939E4	
1.300000000E1	1.755007004052E4	
1.400000000E1	1.990862616142E4	
1.500000000E1	2.015795545833E4	
1.600000000E1	1.946642313321E4	
1.700000000E1	2.015778146098E4	
1.800000000E1	2.049497315239E4	
1.900000000E1	1.910965272871E4	
2.000000000E1	1.977897866517E4	
2.100000000E1	1.899396351638E4	
2.200000000E1	1.762718937802E4	
2.300000000E1	1.656261527691E4	
2.400000000E1	2.051707244703E4	
2.500000000E1	2.167111106708E4	
2.600000000E1	2.076935163188E4	
2.700000000E1	2.249759398137E4	
2.800000000E1	1.982010211347E4	
2.900000000E1	2.020451342677E4	
3.000000000E1	1.914065191662E4	
3.100000000E1	2.141084171361E4	
3.200000000E1	2.016183973034E4	
3.300000000E1	1.961146122392E4	
3.400000000E1	2.311233384188E4	
3.500000000E1	2.228890542254E4	
3.600000000E1	2.142369671569E4	
3.700000000E1	2.069031843957E4	
3.800000000E1	2.00697783572E4	
3.900000000E1	2.130933327372E4	
4.000000000E1	2.073320202799E4	
4.100000000E1	2.169324431046E4	
4.200000000E1	2.495650465601E4	
4.300000000E1	2.255675767437E4	
4.400000000E1	2.839301400937E4	
4.500000000E1	3.272486910904E4	
4.600000000E1	3.734045600399E4	
4.700000000E1	3.696350474953E4	
4.800000000E1	3.580749458441E4	
4.900000000E1	3.389789911327E4	
5.000000000E1	3.394281819068E4	
5.100000000E1	3.142841056019E4	
5.200000000E1	3.087873730462E4	
5.300000000E1	3.029226669064E4	
5.400000000E1	2.965866945233E4	
5.500000000E1	2.894262273661E4	
5.600000000E1	2.84237495074E4	
5.700000000E1	2.780942214418E4	
5.800000000E1	2.691244262719E4	
5.900000000E1	2.689206080888E4	
6.000000000E1	2.5771961561E4	
6.100000000E1	2.515265519108E4	
6.200000000E1	2.469737537196E4	
6.300000000E1	2.464298760174E4	
6.400000000E1	2.404866365423E4	
6.500000000E1	2.257053551392E4	
6.600000000E1	2.215203315157E4	
6.700000000E1	2.152973875122E4	
6.800000000E1	2.158010661565E4	
6.900000000E1	2.072050711821E4	
7.000000000E1	2.064246259763E4	
7.100000000E1	2.31467045333E4	
7.200000000E1	2.287233385513E4	
7.300000000E1	2.544532705232E4	
7.400000000E1	2.630123153866E4	
7.500000000E1	2.528643494317E4	
7.600000000E1	2.896007633656E4	
7.700000000E1	2.844727088914E4	
7.800000000E1	2.688425195836E4	
7.900000000E1	2.614721948704E4	
8.000000000E1	2.497936825649E4	
8.100000000E1	2.368665311627E4	
8.200000000E1	2.277537165634E4	
8.300000000E1	5.359434970354E4	
8.400000000E1	5.083662435717E4	
8.500000000E1	5.116905900486E4	
8.600000000E1	5.665279557808E4	
8.700000000E1	1.344013001254E6	
8.800000000E1	6.186947656504E5	
8.900000000E1	6.115656092395E5	
9.000000000E1	1.966926953577E6	
9.100000000E1	1.84134789869E6	
9.200000000E1	1.822835767536E6	
9.300000000E1	1.808284309366E6	
9.400000000E1	1.789937599229E6	
9.500000000E1	1.769672281561E6	
9.600000000E1	1.751489838782E6	
9.700000000E1	1.733865382971E6	
9.800000000E1	1.716817942571E6	
9.900000000E1	1.699831036125E6	
1.000000000E2	1.680947721234E6	
