% Generated by the SUMO toolbox (Version 2014a (2014a), built on 2014-05-10 09:39)
% This file contains all the samples evaluated in this run. Each line contains the input values for one sample followed by outputs.
% Selected inputs are:
% [TURI,TAVI] -> [out]
% All inputs:
% [] -> [] (mapping UNKNOWN)
6.670000e+02 1.000000e+00 1.170667e+04 
5.560000e+02 4.824444e+02 1.193804e+04 
3.340000e+02 6.977778e+01 1.192515e+04 
8.890000e+02 4.136667e+02 1.186079e+04 
4.450000e+02 2.761111e+02 1.182205e+04 
7.780000e+02 2.073333e+02 1.157868e+04 
7.489938e+02 1.432257e+02 1.162315e+04 
7.549321e+02 2.785169e+02 1.181518e+04 
8.138580e+02 1.453956e+02 1.166218e+04 
5.625219e+02 1.015724e+00 1.189662e+04 
7.879733e+02 1.903354e+02 1.178623e+04 
8.887716e+02 4.104961e+01 1.202629e+04 
7.004218e+02 1.913418e+02 1.164545e+04 
8.345658e+02 1.015724e+00 1.189134e+04 
8.714136e+02 1.396405e+02 1.171317e+04 
9.321667e+02 5.414575e+02 1.208275e+04 
3.340254e+02 3.372312e+02 1.181333e+04 
8.482695e+02 7.831603e+01 1.198969e+04 
9.768813e+02 1.005241e+00 1.194008e+04 
9.559198e+02 3.337090e+02 1.188111e+04 
1.647593e+02 1.384140e+02 1.184206e+04 
3.802538e+01 1.047173e+00 1.213750e+04 
4.504899e+02 4.595133e+02 1.201090e+04 
2.338361e+02 1.015724e+00 1.191699e+04 
9.346029e+02 1.047173e+00 1.188086e+04 
9.999915e+02 1.334661e+02 1.190181e+04 
7.326001e+02 2.274761e+02 1.175560e+04 
6.083025e+02 1.273756e+02 1.198276e+04 
4.540597e+02 1.015724e+00 1.190997e+04 
2.419060e+02 2.497730e+02 1.180532e+04 
8.332970e+02 6.098055e+02 1.216931e+04 
9.999746e+02 4.594713e+02 1.198823e+04 
6.749938e+02 1.044497e+02 1.191810e+04 
7.591955e+02 1.005241e+00 1.190413e+04 
5.440473e+02 2.729505e+02 1.182068e+04 
8.121831e+02 4.249409e+02 1.194362e+04 
1.289943e+02 1.005241e+00 1.183389e+04 
6.053362e+02 6.098090e+02 1.216272e+04 
3.980267e+02 1.523772e+02 1.165130e+04 
3.837647e+02 1.005241e+00 1.173543e+04 
9.997716e+02 6.093861e+02 1.212497e+04 
4.951708e+02 1.392631e+02 1.172253e+04 
7.895039e+01 6.977254e+01 1.203123e+04 
3.867762e+02 3.898864e+02 1.184264e+04 
2.553560e+02 1.341685e+02 1.171749e+04 
9.403889e+02 4.264505e+02 1.193659e+04 
8.855741e+02 6.096692e+02 1.211967e+04 
9.399321e+02 1.285078e+02 1.200552e+04 
7.955357e+02 3.203119e+02 1.179557e+04 
5.968827e+02 2.320046e+02 1.177419e+04 
6.183519e+02 1.424554e+00 1.194160e+04 
5.110738e+02 4.824392e+02 1.198969e+04 
3.372737e+02 2.197398e+02 1.175290e+04 
8.693834e+02 5.164560e+02 1.203338e+04 
7.534602e+02 6.098090e+02 1.212622e+04 
9.137428e+02 2.697428e+02 1.182538e+04 
2.960610e+02 1.005241e+00 1.189252e+04 
5.562284e+02 1.778504e+02 1.180911e+04 
7.503642e+02 2.054936e+02 1.182010e+04 
6.468251e+02 2.826681e+02 1.181973e+04 
7.334630e+02 5.410072e+01 1.200506e+04 
7.872627e+02 5.359755e+01 1.188037e+04 
9.431127e+02 6.098090e+02 1.216105e+04 
5.086884e+02 1.005241e+00 1.181543e+04 
4.430967e+02 1.099217e+02 1.198799e+04 
8.149239e+02 5.359854e+02 1.200177e+04 
6.736404e+02 6.098090e+02 1.202633e+04 
8.388800e+02 4.618300e+02 1.187782e+04 
9.085658e+02 4.514520e+02 1.193662e+04 
9.999972e+02 5.195174e+01 1.200861e+04 
9.871337e+02 5.495712e+02 1.202111e+04 
1.300207e+02 1.385503e+02 1.170734e+04 
9.213560e+02 3.518862e+02 1.179396e+04 
8.277389e+01 1.005241e+00 1.193691e+04 
6.800185e+02 2.623839e+02 1.175674e+04 
5.781543e+02 3.604087e+02 1.175086e+04 
4.708086e+02 2.162804e+02 1.168658e+04 
4.889280e+02 3.661638e+02 1.183299e+04 
5.510514e+02 6.661721e+01 1.193419e+04 
6.259650e+02 5.073045e+02 1.206477e+04 
3.765069e+02 2.803095e+02 1.176445e+04 
5.560028e+02 5.512205e+02 1.216245e+04 
9.999972e+02 3.678166e+02 1.185708e+04 
2.749810e+02 2.761094e+02 1.182771e+04 
9.630761e+02 2.005876e+02 1.179612e+04 
2.697702e+02 5.567314e+01 1.200825e+04 
1.301955e+02 7.076840e+01 1.203134e+04 
7.175261e+02 1.145447e+02 1.194344e+04 
6.002325e+02 5.226513e+02 1.207766e+04 
9.810432e+02 4.260731e+02 1.184960e+04 
7.603628e+02 5.472125e+02 1.202779e+04 
4.082284e+02 4.586123e+01 1.197622e+04 
1.824556e+02 1.001747e+00 1.193067e+04 
2.124177e+02 9.473213e+01 1.191016e+04 
4.373107e+02 3.871084e+02 1.193063e+04 
9.295782e+02 2.073386e+02 1.179594e+04 
7.595000e+02 8.633539e+01 1.199217e+04 
9.999972e+02 2.404503e+02 1.166779e+04 
6.208896e+02 5.416362e+01 1.209596e+04 
6.120075e+02 4.040906e+02 1.183965e+04 
