% Generated by the SUMO toolbox (Version 2014a (2014a), built on 2014-05-10 09:39)
% This file contains all the samples evaluated in this run. Each line contains the input values for one sample followed by outputs.
% Selected inputs are:
% [TURI,TAVI] -> [out]
% All inputs:
% [] -> [] (mapping UNKNOWN)
6.670000e+02 1.000000e+00 -4.101655e+05 
5.560000e+02 4.824444e+02 -3.895858e+05 
3.340000e+02 6.977778e+01 -3.705298e+05 
8.890000e+02 4.136667e+02 -3.667695e+05 
4.450000e+02 2.761111e+02 -3.722145e+05 
7.780000e+02 2.073333e+02 -3.769049e+05 
6.276399e+02 1.047173e+00 -3.437019e+05 
7.189979e+02 1.015724e+00 -3.206605e+05 
6.698169e+02 7.105144e+01 -3.230238e+05 
5.123765e+02 4.007885e+02 -3.278818e+05 
5.932284e+02 5.527789e+02 -3.366086e+05 
6.430185e+02 4.501312e+02 -3.346151e+05 
8.257346e+02 2.918196e+02 -3.386976e+05 
3.936111e+02 1.825677e+02 -3.469792e+05 
8.721749e+02 1.698310e+02 -3.451771e+05 
6.807798e+02 2.410618e+02 -3.488701e+05 
3.412325e+02 3.020089e+02 -3.538938e+05 
2.552037e+02 5.670096e+00 -3.366775e+05 
2.552037e+02 1.326590e+02 -3.400319e+05 
9.513519e+02 4.905110e+02 -3.386315e+05 
5.265370e+02 2.231362e+02 -3.432409e+05 
9.840885e+02 3.645599e+02 -3.431264e+05 
5.005000e+02 5.040967e+02 -3.416038e+05 
3.904136e+02 1.990626e+00 -3.313518e+05 
8.188827e+02 4.787178e+02 -3.365104e+05 
3.822840e+01 3.906836e+01 -3.282069e+05 
9.999239e+02 1.047173e+00 -3.247974e+05 
4.240638e+02 9.677628e+01 -3.295182e+05 
9.999746e+02 6.098055e+02 -3.260979e+05 
9.999746e+02 2.346778e+02 -3.271094e+05 
7.980226e+02 6.097950e+02 -3.312732e+05 
2.400620e+02 2.497835e+02 -3.321463e+05 
7.933025e+02 3.856933e+02 -3.320947e+05 
3.710085e+02 3.796971e+02 -3.383376e+05 
9.999746e+02 1.167146e+02 -4.716859e+04 
8.765905e+02 2.333255e+02 -3.359200e+05 
7.934040e+02 1.478486e+02 -3.327773e+05 
1.243418e+02 1.299649e+02 -4.848077e+04 
3.241283e+02 1.384140e+02 -2.912235e+05 
4.424877e+02 2.205889e+02 -3.124886e+05 
5.230350e+02 3.016315e+02 -2.877677e+05 
4.173642e+02 3.202490e+02 -2.201266e+05 
3.480844e+02 2.394894e+02 -3.393617e+05 
2.619033e+02 6.818963e+01 -1.241256e+05 
2.365261e+02 1.760893e+02 -1.391411e+05 
3.212183e+02 1.001747e+00 -3.191607e+05 
3.767606e+02 5.762295e+01 -2.111155e+05 
4.690322e+02 1.329420e+02 -2.913264e+05 
4.705831e+02 1.001747e+00 -1.571028e+05 
1.489972e+02 1.001747e+00 -6.660890e+04 
6.093683e+02 2.028519e+02 -3.064596e+05 
4.052339e+02 1.309922e+02 -1.779511e+05 
4.822791e+02 8.598946e+01 -2.802469e+05 
7.150391e+02 3.164438e+02 -2.694035e+05 
7.138210e+02 5.440991e+02 -1.913188e+05 
8.921214e+02 5.738179e+02 -2.410518e+05 
4.450085e+02 4.484854e+02 -1.353739e+05 
5.804383e+02 4.115439e+02 -3.832363e+04 
7.177798e+02 4.503827e+02 -3.173952e+05 
6.272339e+02 4.966434e+02 -2.946751e+05 
8.937455e+02 1.015724e+00 -2.793301e+03 
9.196811e+02 3.181420e+02 -2.988081e+05 
3.155000e+02 3.181420e+02 -2.580573e+05 
3.032174e+02 1.012420e+02 -3.139225e+05 
9.999915e+02 4.356858e+02 -3.233006e+05 
5.350638e+02 5.398851e+02 -2.360016e+04 
6.341365e+02 5.990082e+02 -3.043829e+05 
5.137977e+02 4.652264e+02 -3.111983e+05 
6.970213e+02 4.067323e+02 -3.260891e+05 
9.999915e+02 5.389311e+02 -3.054961e+05 
7.059033e+02 1.668120e+02 -2.969560e+05 
9.999915e+02 2.979835e+02 -3.239782e+05 
7.536632e+02 2.594592e+02 -2.437173e+05 
8.482695e+02 3.525466e+02 -3.030016e+05 
6.029733e+02 2.564087e+02 -3.382512e+05 
8.851173e+02 4.648805e+02 -1.679548e+05 
7.981749e+02 5.399480e+02 -2.401574e+04 
8.037579e+02 4.393758e+02 -3.336539e+05 
9.329280e+02 3.911653e+02 -3.244189e+05 
9.244182e+02 6.098090e+02 -2.585542e+05 
6.355576e+02 5.613329e+02 -3.341417e+05 
7.365646e+02 6.098090e+02 -8.237021e+04 
4.909074e+02 3.704093e+02 -3.381757e+05 
3.969609e+02 2.492384e+02 -1.208701e+05 
4.876084e+02 2.638934e+02 -1.527390e+05 
2.967716e+02 2.475402e+02 -2.847587e+05 
5.078594e+02 1.881026e+02 -1.372971e+05 
5.326783e+02 3.470117e+02 -3.364675e+05 
3.273765e+02 1.951785e+02 -2.604472e+05 
5.747538e+02 2.263125e+02 -3.165633e+05 
6.160679e+02 3.051223e+02 -3.415081e+05 
4.604040e+02 3.071350e+02 -2.801269e+05 
5.723683e+02 3.020089e+02 -1.440818e+04 
6.599198e+02 2.935178e+02 -3.091205e+05 
6.628128e+02 3.515402e+02 -3.419406e+05 
7.700062e+02 3.320107e+02 -3.296025e+05 
6.603765e+02 2.117518e+02 -3.341786e+05 
8.883148e+02 9.746815e+01 -3.092720e+05 
1.333615e+01 1.001747e+00 -1.882063e+05 
7.296056e+02 3.617924e+02 -2.652224e+05 
