% Generated by the SUMO toolbox (Version 2014a (2014a), built on 2014-05-10 09:39)
% This file contains all the samples evaluated in this run. Each line contains the input values for one sample followed by outputs.
% Selected inputs are:
% [TURI,TAVI] -> [out]
% All inputs:
% [] -> [] (mapping UNKNOWN)
6.670000e+02 1.000000e+00 -2.200291e+05 
5.560000e+02 4.824444e+02 -2.197097e+05 
3.340000e+02 6.977778e+01 -2.190998e+05 
8.890000e+02 4.136667e+02 -2.190390e+05 
4.450000e+02 2.761111e+02 -2.197209e+05 
7.780000e+02 2.073333e+02 -2.193867e+05 
6.188086e+02 1.141518e+00 -2.189950e+05 
7.145316e+02 1.015724e+00 -2.199679e+05 
6.875302e+02 3.406805e+01 -2.201441e+05 
6.841296e+02 1.084122e+02 -2.195184e+05 
4.890802e+02 3.580501e+02 -2.189117e+05 
3.853889e+02 2.253061e+02 -2.198543e+05 
4.662407e+02 2.094561e+02 -2.194631e+05 
3.500638e+02 2.806869e+02 -2.192374e+05 
3.225041e+02 1.804921e+02 -2.203319e+05 
2.784492e+02 1.878510e+02 -2.194284e+05 
3.540226e+02 1.680699e+02 -2.189818e+05 
5.391749e+02 2.435148e+02 -2.193813e+05 
3.276811e+02 2.102738e+02 -2.198505e+05 
2.887524e+02 1.385538e+02 -2.193612e+05 
3.392023e+02 1.015724e+00 -2.201945e+05 
2.667757e+02 6.141823e+00 -2.193556e+05 
4.074671e+02 1.067040e+01 -2.195427e+05 
5.991667e+02 5.567414e+02 -2.194074e+05 
6.594630e+02 4.651321e+02 -2.190940e+05 
4.505069e+02 4.595133e+02 -2.196829e+05 
8.965370e+02 1.466221e+02 -2.200105e+05 
9.212037e+02 2.090787e+02 -2.203227e+05 
9.714506e+02 1.777561e+02 -2.198259e+05 
8.969938e+02 2.659690e+02 -2.194466e+05 
8.788237e+02 1.929142e+02 -2.200466e+05 
9.901790e+02 2.458734e+02 -2.199287e+05 
9.134383e+02 6.048476e+01 -2.193452e+05 
8.070062e+02 1.108652e+02 -2.186633e+05 
6.941790e+02 2.822907e+02 -2.197314e+05 
6.606811e+02 2.080409e+02 -2.196987e+05 
9.993148e+02 6.093861e+02 -2.194248e+05 
8.535988e+02 6.096692e+02 -2.194601e+05 
7.246824e+02 6.097950e+02 -2.198670e+05 
7.692449e+02 5.470239e+02 -2.191028e+05 
3.807613e+01 1.141518e+00 -2.198592e+05 
7.502538e+01 6.875570e+01 -2.191012e+05 
9.999746e+02 5.075246e+02 -2.190776e+05 
7.394012e+02 3.581444e+02 -2.192261e+05 
5.790679e+02 1.502072e+02 -2.193213e+05 
9.999915e+02 3.372941e+02 -2.187611e+05 
3.710028e+02 3.797006e+02 -2.199881e+05 
9.999972e+02 1.001747e+00 -2.183650e+05 
6.514776e+02 6.098090e+02 -2.198834e+05 
6.267263e+02 3.366337e+02 -2.196315e+05 
1.174674e+02 1.001747e+00 -2.191781e+05 
5.738909e+02 4.157894e+02 -2.191574e+05 
5.000207e+02 5.053686e+02 -2.193669e+05 
8.979074e+02 5.382497e+02 -2.197191e+05 
9.198333e+02 1.831337e+02 -2.188908e+05 
8.908018e+02 1.116200e+02 -2.197094e+05 
9.348059e+02 2.345205e+02 -2.193733e+05 
8.433464e+02 2.588931e+02 -2.190181e+05 
8.448182e+02 1.451755e+02 -2.198379e+05 
9.999915e+02 1.023322e+02 -2.198083e+05 
8.990409e+02 1.005241e+00 -2.194239e+05 
7.262051e+02 1.835111e+02 -2.196681e+05 
8.815137e+02 3.450619e+02 -2.196804e+05 
9.576962e+02 4.494922e+01 -2.192781e+05 
7.809691e+02 4.448478e+02 -2.195567e+05 
7.154451e+02 2.298347e+02 -2.194013e+05 
6.265233e+02 2.681389e+02 -2.197589e+05 
8.828333e+02 2.417222e+02 -2.197698e+05 
8.712613e+02 3.067891e+02 -2.196779e+05 
7.472174e+02 7.312704e+01 -2.186738e+05 
9.247565e+02 3.366337e+02 -2.200765e+05 
6.052572e+02 7.124013e+01 -2.197116e+05 
9.999972e+02 2.044418e+02 -2.199560e+05 
9.999915e+02 1.417581e+02 -2.193379e+05 
9.506413e+02 1.089154e+02 -2.199002e+05 
9.999991e+02 2.916868e+02 -2.197571e+05 
1.300207e+02 1.385503e+02 -2.198061e+05 
9.999746e+02 4.171103e+02 -2.197226e+05 
1.834877e+02 7.510829e+01 -2.192999e+05 
4.904506e+02 7.057971e+01 -2.191777e+05 
8.412654e+02 2.214909e+01 -2.199054e+05 
6.920473e+02 4.008829e+02 -2.190795e+05 
6.803230e+02 5.454200e+02 -2.192610e+05 
8.129952e+02 3.997507e+02 -2.193264e+05 
5.021072e+02 1.005241e+00 -2.197806e+05 
9.309486e+02 5.890075e+02 -2.196551e+05 
3.340028e+02 3.372452e+02 -2.190126e+05 
4.331996e+02 4.056001e+02 -2.198621e+05 
6.522558e+02 1.579435e+02 -2.202378e+05 
4.080254e+02 3.351241e+02 -2.191503e+05 
8.277140e+02 5.000399e+02 -2.197449e+05 
5.928224e+02 2.037954e+02 -2.202295e+05 
7.415329e+02 4.904481e+02 -2.196918e+05 
5.056262e+02 4.346585e+02 -2.194244e+05 
7.576728e+02 2.666294e+02 -2.198736e+05 
8.919691e+02 2.736953e+01 -2.190165e+05 
8.081453e+02 1.001747e+00 -2.180232e+05 
9.999239e+02 5.604209e+02 -2.194308e+05 
8.075137e+02 4.910042e+01 -2.205583e+05 
6.852462e+02 3.341807e+02 -2.198655e+05 
